,index,text,cluster_id,centroid,labelled,label
0,0, eagles fans dont except the fact that mcoy been bad  this year and that everybody figured out that is spread offense stop it,0,0,True,1
1,1, khan has been facing nothing but bad  since his to garcia,0,0,True,1
2,2, what will the lakers be after kobe bad ,0,0,True,1
3,3, should have lost in carolina in houston tonight in louis lucky seahawks are complete bad  ,0,0,True,1
4,4, mallymal no song i have heard was good is what i mean by he is bad ,0,0,True,1
5,5, kissin small lips is bad   yessssss,0,0,True,1
6,6, i have read the hunger games times i am bad ,0,0,True,1
7,7,you both sorry to give racist a platform his bad  language your  interview  was below kindergarten level,0,0,True,1
8,8,green grass and tree bad ,0,0,True,1
9,9,pierce would have easily drained all these shots with us he so bad  now ,0,0,True,1
10,10, mallymal no song i have heard was good is what i mean by he is bad ,0,0,True,1
11,11, i am only back because i do not wanna see the boys lose to bad  vote,0,0,True,1
12,12, her face ugly to me her nudes were bad  ,0,0,True,1
13,13,someone probably told him god was bad  ,0,0,True,1
14,14,why mcdonald breakfast good but the lunch bad ,0,0,True,1
15,15,marcus smart belongs on the celtics both bad  it was destiny ,0,0,True,1
16,16, the real reason why she gave up rapping was  because of me i called her bad  to her face and asked for ,0,0,True,1
17,17, go fight against the idf if you progressive bad  hate them so much you had have the guts to do it i stand with  ,0,0,True,1
18,18, seems if they wouldont come up with it its bad nobody outside hollywood knows what people will pay to see guess ,0,0,True,1
19,19, seton catholic where their own students talk bad  about how low of a division there football team is in ,0,0,True,1
20,20,we over here struggling with college and work and ice fish making money for being bad what has this world come to ,0,0,True,1
21,21, chris now jimmy want to talk bad  would have should have could have now chris stop talking and spitting ,0,0,True,1
22,22,yep sources confirmed it that piggy concert last night was bad ,0,0,True,1
23,23, mins for and joel to pick out a bad  can meijer now doyou guys understand why i took shots before this trip,0,0,True,1
24,24, tom brady slowly becoming washed his weapons just bad ,0,0,True,1
25,25, welcome back without your daily rants my was bad  ,0,0,True,1
26,26, of all her songs are actually good compared to the other bad  shes such a showman my god ,0,0,True,1
27,27, no bryan said it was bad  hotel so we are staying somewhere else,0,0,True,1
28,28, your bcu band made ucf band look like bad ,0,0,True,1
29,29,the family of ron neal needs to sue wutang for that bad  song they are released in his name ,0,0,True,1
30,30, if your girl did not camp out overnight to buy you the iphone your pee is bad  ,0,0,True,1
