index,label,text
1,0, as a woman you should not complain about cleaning up your house as a man you should always take the garbage out 
2,0, momma said no cats inside my doghouse 
3,0, simply addicted to guys hot scally lad
4,0, and hot soles
5,0, lemmie eat a oreo do these dishes one oreo 
6,0, why the eggplant emoji would he say she looked like scream 
7,0, baby monkey bathtime this is so adorable 
8,0, baseball season for the win yankees this is where the love started
9,0, i am an early bird and i am a night owl so i am wise and have worms 
10,0, overdosing on heavy drugs does not sound bad tonight i do that every day 
11,0, grillo pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures 
12,0, as long as the lakers bad  from now on i could careless and that is real 
13,0, this the i play soccer cheat on girls and wear khaki coloured cargos haircut
14,0, this is not ghetto it is smart i am doing this i do not care
15,0, who wants to get there nose in these bad boys then scally sockfetish stinking hot  and legs
16,0, peel up peel up bring it back up rewind back where i am from they move shaq from the line who said that bad  
17,0, come on stay alive knights nation this is still the early bird special come at me 
18,0, stay tuned to for an update on the report that will be out weeks bum
19,0, rad i play soccer cheat on girls and wear khaki coloured cargos haircut yes 
20,0, a pissed lad past out i would lick his dirty soles while he islept 
21,0, love frat boy soft long soles
22,0, sexy lad with hot soles and arches 
23,0, the kid i got hicks 
24,0, birds your grandkids may never see thanks to climate change climate
25,0, it am not so fosters home for imaginary bad  who a chill that is how was everything
26,0, of welfare government aid is claimed by white people so you all black slander is bad  now 
27,0, in a ghetto you alone 
28,0, austin teach us austin i teachyou how to get curved that is all i know
29,0, manning just threw his nfl leading interception of the is eason bad 
30,0, usc senior anthony brown calls head coach steve sarkisian a racist and quits team he is a  girl 
31,0, chilling sexy scally lad
32,0, jonez i am not mad  
33,0, this scally lad would get it
34,0, sad tv character deaths we are still bitter over ned stark was the man
35,0, a smuggler explains how he helped fighters along the jihadi highway 
36,0, down yankees look to rally in the bottom of the rally cap
37,0, one mans bad  is another mans treasure 
38,0, uk ashley young has tried to deny that bird landed in his mouth  
39,0, south take me for a ride redneck    
40,0, sitting on my window sill window open bird tries to fly in smacked it protect the animals 
41,0, a video an entire media will likely mock i am such a crybaby
42,0, jihadi patron hajjaj al ajmi is arrested at kuwait airport 
43,0, when twitter rappers direct message me their bad  links 
44,0, photo he is in sole heaven
45,0, we acting like it is the day spook
46,0, colored contacts in your eyes blinders on mine because i cannot see you at all 
47,0, coleman swears i am man easily easily behind austin nip 
48,0, wells and charlie chaplin history photography
49,0, i told mariam to but cigarettes for her birthday you also called me bad  rn
50,0, brownies tonight what kind 
51,0, fit lads nice gear these scally lads and trainers would get it
52,0, yongguk i saw an ajumma walk out in the beginning saying this is so bad  that i cannot even listen to it
53,0, dude remember this wop video my god where did you find that
54,0, my sexy french scally i love him french scally sexy scally    
55,0, bae sounds like such a ghetto word use something else
56,0, brownies for my brownie i love this movie 
57,0, chinese maverick we were communicating comrade you know giving the imperialist  the birdie 
58,0, generate ascii boxes with nodejs all i see is the ability to bring flappy bird in node ascii tubes and bird 
59,0, how about we hadraft all those  folks and send them to afghanistan or other war zones so they can show their 
60,0, i am a thrill billy with a good heart jesus murphy 
61,0, i found a new way to chug you have to open your mouth alot all you says
62,0, i will slit your throat neck 
63,0, is that an albino mexican no dad he is asian 
64,0, just follow the yellow brick twitter 
65,0,  cripple wendy davis scientists create remote controlled chick to study shy penguins  
66,0, mine plays and kirk franklin just call me brit well my neighbors are ghetto they get up at like am and beat their kids 
