index,label,text,processed
,,,
481,0,The Supemes have decide discrimination is just fine     as long as it is reversed,The Supemes have decide discrimination is just fine     as long as it is reversed
482,0,If you dont understand what transgender is  go talk to your family doctor  They cover it in medical school ,If you dont understand what transgender is  go talk to your family doctor  They cover it in medical school 
483,0,im not understanding this kidnapping point  Be real  Other countries took by force their own people and sold them for a coin  Stop attempting to portray this country as being the only one that participated in this evil trade ,im not understanding this kidnapping point  Be real  Other countries took by force their own people and sold them for a coin  Stop attempting to portray this country as being the only one that participated in this evil trade 
484,0,Cut off Federal funding and arrest anyone getting in the way for aiding and abetting  obstruction of justice and everything else that might stick ,Cut off Federal funding and arrest anyone getting in the way for aiding and abetting  obstruction of justice and everything else that might stick 
485,0,Question  hasnt any other First Lady taken swipes at their opponent Party s presidential candidates  For goodness sake  this is a College Commencement speech show just a little class Michele  This again reveals her lack of grace and integrity as our nation s First Lady ,Question  hasnt any other First Lady taken swipes at their opponent Party s presidential candidates  For goodness sake  this is a College Commencement speech show just a little class Michele  This again reveals her lack of grace and integrity as our nation s First Lady 
486,0,Couldn t agree more  Great comment ,Couldn t agree more  Great comment 
488,0,There are many people who are mad at the white parents  They shrugged off the sign and decided to go into the water  The water could have had bacteria or amebas or some other danger  The gorilla enclosure was a clear hazard  and as every parent knows kids are quick ,There are many people who are mad at the white parents  They shrugged off the sign and decided to go into the water  The water could have had bacteria or amebas or some other danger  The gorilla enclosure was a clear hazard  and as every parent knows kids are quick 
489,0,Funny  some people cannot see why Blacks are offended by the confederate flag  It just amazes me  The whole purpose of the confederacy and its constituiton was to allow the continued enslavement of Black people  No state could be apart of the confederacy unless they allowed the practice of slavery  If you do not believe that  then I strongly urge you to read both the US and confederate constitution  The whole purpose of the civil war was to continue the horrible act of slavery in the south  With that  I say now to take the rag down and put it in a museum ,Funny  some people cannot see why Blacks are offended by the confederate flag  It just amazes me  The whole purpose of the confederacy and its constituiton was to allow the continued enslavement of Black people  No state could be apart of the confederacy unless they allowed the practice of slavery  If you do not believe that  then I strongly urge you to read both the US and confederate constitution  The whole purpose of the civil war was to continue the horrible act of slavery in the south  With that  I say now to take the rag down and put it in a museum 
490,0,hard to have respect for someone who in a multi   figure a year job in an Chicago hospital    was on the committee that worked on a poor patient dumping scheme ,hard to have respect for someone who in a multi   figure a year job in an Chicago hospital    was on the committee that worked on a poor patient dumping scheme 
491,0,Why the lies ,Why the lies 
492,0,Ok we have a winner  ,Ok we have a winner  
493,0,You didnt answer the question  What forced per version  If youresick of the nons ense you make up  stop saying it ,You didnt answer the question  What forced per version  If youresick of the nons ense you make up  stop saying it 
496,0,Just flag this soros paid troll as spam  its that time of month so emotions is all it has to operate on  Gruber,Just flag this soros paid troll as spam  its that time of month so emotions is all it has to operate on  Gruber
497,0,Treason is as treason does   pull down and burn that no good rebel flag  its not a god given right to side with treason freedom of speech is a Constitutional Right     God did not sign the Constitution  MEN signed that document in spite of both the Crown and the Church of England  You can have your so called divine right and your divine might our government has neither and never shall  It will always be obedient to the Citizens of the United States or else ,Treason is as treason does   pull down and burn that no good rebel flag  its not a god given right to side with treason freedom of speech is a Constitutional Right     God did not sign the Constitution  MEN signed that document in spite of both the Crown and the Church of England  You can have your so called divine right and your divine might our government has neither and never shall  It will always be obedient to the Citizens of the United States or else 
498,0,That is indeed what the article on the USNI web says  It is not unusual for the AP to be wrong    but usually it favors causes such as this  But  if he was indeed honorably discharged  I apologize to him and withdraw my objection to the ship naming ,That is indeed what the article on the USNI web says  It is not unusual for the AP to be wrong    but usually it favors causes such as this  But  if he was indeed honorably discharged  I apologize to him and withdraw my objection to the ship naming 
501,0,No  seriously read your post  It didnt make any sense  Not even talking the opinion it stated  Referring to the phrasing ,No  seriously read your post  It didnt make any sense  Not even talking the opinion it stated  Referring to the phrasing 
508,0,If you have children that are school age  recipients can still work a bit or volunteer ,If you have children that are school age  recipients can still work a bit or volunteer 
509,0,take that up with the UN  or Israel  keep all your self described righteous anger and hate in the Strip ,take that up with the UN  or Israel  keep all your self described righteous anger and hate in the Strip 
511,0,It is a Dept  Of Agriculture program to move their products,It is a Dept  Of Agriculture program to move their products
512,0,China is the land of equality  That is what communism is for  America is the land of opportunity  That is what democracy is for  You cannot have both ,China is the land of equality  That is what communism is for  America is the land of opportunity  That is what democracy is for  You cannot have both 
514,0,Well written  outstanding   please forward to Trump ad let him use it ,Well written  outstanding   please forward to Trump ad let him use it 
516,0,Vote Republican       Because most people can outrun a glacier ,Vote Republican       Because most people can outrun a glacier 
