,text,cluster_id,centroid
0,the value of abu qutada statement is that his credentials in jihadi circles are impeccable he facing trial on terrorism charges ,0,False
1,i really hate attention seeking hoes hope the you all would die,0,False
2,if your girl watch snapped in front of you she  trying to spookyou ,0,False
3, you have got no sole,0,False
4, that damn dog eats most colored folk do ,0,False
5, money and clothes,0,False
6,i swear the people cleaning the office switch what side the garbage vs recycling cans are on on purpose to mess with me ,0,False
7, fuzzy dice might be the nicest thing you could put in your car  ,0,False
8,i may or may not have at least related tattoos already planned out ,0,False
9, i am not even ghetto ,0,False
10,can we bomb the selfie monkey out of my timeline ,0,False
11, good morning baton rouge a having a nip of ,0,False
12, if you had like my tweets with my belief in jesus christ please respect it but do not mock it or make negative remarks ,0,False
13, if your girlfriend is taller than you it is her responsibility to take the garbage out fight off anyone that breaks into you ,0,False
14, if your girlfriend is taller than you it is her responsibility to take the garbage out fight off anyone that breaks into you ,0,False
15, baseball season for the win yankees this is where the love started,0,False
16,officials jihadi cockroaches now booking tickets on cruise ships to syria ,0,False
17, ballgame over yankees win  beat the white  in innings ,0,False
18, were you expecting anything short of fireworks in his final homestand farewell captain ,0,False
19, have you spent significant time in any ghetto or witnessed the years of terrorism committed by police in the black community ,0,False
20, hick and raver is a venn diagram that has a very large intersection ,0,False
21,i have never had a twinkie ,0,False
22, puppets like do not will intentionally and forever cripple our people ability to unify a eco and political consensus,0,False
23,i love watching gas monkey they be having some classics on there ,0,False
24,i prefer jameis winston to not speak on tv at all damn coon ,0,False
25,yeah okay let us just put a fire cracker in a cow pie and see what happens,0,False
26, racist all month fuck you honkey ,0,False
27,get this monkey off my back ,0,False
28,i from the planet of apes king kong clips,0,False
29, lancer cue the liberal left uncle tom attacks against tim scott in  teaparty ,0,False
30, are we doing mad libs now cool twinkie long ,0,False
31,on the anniversary of isis al qaeda supporters each claim ben laden as their own as a show of their jihadi authenticity pathetic,0,False
32, lifestyle cant the yankees make some last weeks moves ,0,False
33,yes no will you buy the new caramel apple flavor of oreos ,0,False
34, like charlie chan style never saw that either  makes me think of the cockneys in the killzone series ,0,False
35,i am just  a trill nicca mane,0,False
36, you have a redneck attitude the same people that think benghazzi is real think fox fake news is real your one,0,False
37, cheating on a good woman is like eating out of the garbage instead going out for steak truth,0,False
38,oh it is  bike week in charlotte ok makes sense now,0,False
39, you a oreo cookie now ,0,False
40, still waiting for charlie baker to take the istage in swampscott   ,0,False
41, rather than believe that there was a man who was the very definition of good you mock it ,0,False
42,finally got an updated picture with angel wing colored ,0,False
43, ravioli stuffed with lobster a nice stuffed clam eating better than a mobster ,0,False
44, jane seymour rocks a bikini at crazy aunt jane is at it again ,0,False
45, she has zebra tights in her take home bag me and my mom are just ,0,False
46,not a word on jihadi stream about the kurdish female suicide bomber in kobane that story undermines their mythology on several levels ,0,False
47,freezing my nips off out here ,0,False
48,how much you wanna bet that a anti government black helicopter   was behind the boston marathon explosions ,0,False
49, yes she is a real pom maven ,0,False
50,the guy got excited when he saw oreo cookie crusts he thought i was making pie he was bummed when he realized it was cheesecake ,0,False
51,going to shower for the sole  purpose of shampooing my beard ,0,False
52, wait and as in nick or as in mick ,0,False
53, ruin a comedian charlie lap dance,0,False
54,girl cute face but yellow teef ,0,False
55, and hot soles,0,False
56, that game winning hit in thursday capped a great career the guy is a ballot hof or else ,0,False
57,sixten just shoved like oreos down his throat,0,False
58,faux noise pundits do not like duck molester pro slavery racist homophobic   darling phil robertson either ,0,False
59, the strings attached to boxes of animal crackers were originally put there iso that the box could be hung from christmas tree ,0,False
60, fox news mocks victim of ray rice elevator assault i think the message is take the stairsht ,0,False
61,thanks for the follow remy i may be a fan but you guys are one of the best broadcasters in the ,0,False
62, stop white people cases of west nile virus infections reported in orange county this year dead birds found carrying virus,0,False
63, feature car of yellow and black feature car buck tag is on the radiator support miles ,0,False
64, they have mix not all are retards is maoists terrorists congies and delusional retards,0,False
65, white pony ariza is a snake and a coward but at least he is not a cripple like your hero roach ,0,False
66,webbers restorers dream cracked midsole sole separation and fogged bubbles ,0,False
67,jihadis circulating a video of the killing by boko haram of a nigerian pilot captured after his helicopter was shoot down,0,False
68, that should read suck on my bacon encrusted middle finger muslim whats,0,False
